SRR_ID,sample_ID
SRR3018011,MO_1008
SRR3018014,MO_1015
SRR3018021,MO_1040
SRR3018025,MO_1054
SRR3018029,MO_1071
SRR3018032,MO_1074
SRR3018036,MO_1084
SRR3018040,MO_1094
SRR3018045,MO_1095
SRR3018048,TP_2001
SRR3018052,TP_2009
SRR3018057,TP_2010
SRR3018060,MO_1124
SRR3018064,MO_1114
SRR3018071,MO_1130
SRR3018074,TP_2032
SRR3018078,MO_1096
SRR3018081,TP_2020
SRR3018085,MO_1192
SRR3018090,MO_1179
SRR3018093,MO_1184
SRR3018097,MO_1162
SRR3018100,MO_1215
SRR3018104,MO_1241
SRR3018108,MO_1176
SRR3018112,MO_1262
SRR3018116,MO_1202
SRR3018120,MO_1221
SRR3018124,MO_1232
SRR3018128,MO_1244
SRR3018132,MO_1249
SRR3018135,MO_1263
SRR3018139,TP_2034
SRR3018142,MO_1219
SRR3018147,TP_2054
SRR3018150,MO_1337
SRR3018155,MO_1316
SRR3018158,MO_1118
SRR3018163,MO_1161
SRR3018165,MO_1336
SRR3018170,MO_1277
SRR3018173,TP_2060
SRR3018178,MO_1339
SRR3018181,TP_2061
SRR3018187,TP_2064
SRR3018191,MO_1410
SRR3018194,MO_1012
SRR3018016,MO_1020
SRR3018019,MO_1040
SRR3018024,MO_1054
SRR3018027,MO_1071
SRR3018031,MO_1074
SRR3018035,MO_1084
SRR3018039,MO_1094
SRR3018044,MO_1095
SRR3018047,TP_2001
SRR3018051,TP_2009
SRR3018056,TP_2010
SRR3018061,MO_1124
SRR3018063,MO_1114
SRR3018068,MO_1128
SRR3018073,TP_2032
SRR3018080,TP_2020
SRR3018084,MO_1192
SRR3018089,MO_1179
SRR3018092,MO_1184
SRR3018099,MO_1215
SRR3018103,MO_1241
SRR3018109,MO_1176
SRR3018111,MO_1262
SRR3018115,MO_1202
SRR3018119,MO_1221
SRR3018123,MO_1232
SRR3018127,MO_1244
SRR3018131,MO_1249
SRR3018141,MO_1219
SRR3018145,TP_2054
SRR3018149,MO_1337
SRR3018153,MO_1316
SRR3018157,MO_1118
SRR3018162,MO_1161
SRR3018166,MO_1336
SRR3018169,MO_1277
SRR3018174,TP_2060
SRR3018177,MO_1339
SRR3018182,TP_2061
SRR3018185,TP_2064
SRR3018189,MO_1410
SRR3018197,MO_1013
SRR3018199,MO_1014
