LibrarySelection_s,Run_s,SAMPLE ID
Hybrid Selection,SRR3018011,MO_1008
Hybrid Selection,SRR3018014,MO_1015
Hybrid Selection,SRR3018021,MO_1040
Hybrid Selection,SRR3018025,MO_1054
Hybrid Selection,SRR3018029,MO_1071
Hybrid Selection,SRR3018032,MO_1074
Hybrid Selection,SRR3018036,MO_1084
Hybrid Selection,SRR3018040,MO_1094
Hybrid Selection,SRR3018045,MO_1095
Hybrid Selection,SRR3018048,TP_2001
Hybrid Selection,SRR3018052,TP_2009
Hybrid Selection,SRR3018057,TP_2010
Hybrid Selection,SRR3018060,MO_1124
Hybrid Selection,SRR3018064,MO_1114
Hybrid Selection,SRR3018071,MO_1130
Hybrid Selection,SRR3018074,TP_2032
Hybrid Selection,SRR3018078,MO_1096
Hybrid Selection,SRR3018081,TP_2020
Hybrid Selection,SRR3018085,MO_1192
Hybrid Selection,SRR3018090,MO_1179
Hybrid Selection,SRR3018093,MO_1184
Hybrid Selection,SRR3018097,MO_1162
Hybrid Selection,SRR3018100,MO_1215
Hybrid Selection,SRR3018104,MO_1241
Hybrid Selection,SRR3018108,MO_1176
Hybrid Selection,SRR3018112,MO_1262
Hybrid Selection,SRR3018116,MO_1202
Hybrid Selection,SRR3018120,MO_1221
Hybrid Selection,SRR3018124,MO_1232
Hybrid Selection,SRR3018128,MO_1244
Hybrid Selection,SRR3018132,MO_1249
Hybrid Selection,SRR3018135,MO_1263
Hybrid Selection,SRR3018139,TP_2034
Hybrid Selection,SRR3018142,MO_1219
Hybrid Selection,SRR3018147,TP_2054
Hybrid Selection,SRR3018150,MO_1337
Hybrid Selection,SRR3018155,MO_1316
Hybrid Selection,SRR3018158,MO_1118
Hybrid Selection,SRR3018163,MO_1161
Hybrid Selection,SRR3018165,MO_1336
Hybrid Selection,SRR3018170,MO_1277
Hybrid Selection,SRR3018173,TP_2060
Hybrid Selection,SRR3018178,MO_1339
Hybrid Selection,SRR3018181,TP_2061
Hybrid Selection,SRR3018187,TP_2064
Hybrid Selection,SRR3018191,MO_1410
Hybrid Selection,SRR3018194,MO_1012
PolyA,SRR3018016,MO_1020
PolyA,SRR3018019,MO_1040
PolyA,SRR3018024,MO_1054
PolyA,SRR3018027,MO_1071
PolyA,SRR3018031,MO_1074
PolyA,SRR3018035,MO_1084
PolyA,SRR3018039,MO_1094
PolyA,SRR3018044,MO_1095
PolyA,SRR3018047,TP_2001
PolyA,SRR3018051,TP_2009
PolyA,SRR3018056,TP_2010
PolyA,SRR3018061,MO_1124
PolyA,SRR3018063,MO_1114
PolyA,SRR3018068,MO_1128
PolyA,SRR3018073,TP_2032
PolyA,SRR3018080,TP_2020
PolyA,SRR3018084,MO_1192
PolyA,SRR3018089,MO_1179
PolyA,SRR3018092,MO_1184
PolyA,SRR3018099,MO_1215
PolyA,SRR3018103,MO_1241
PolyA,SRR3018109,MO_1176
PolyA,SRR3018111,MO_1262
PolyA,SRR3018115,MO_1202
PolyA,SRR3018119,MO_1221
PolyA,SRR3018123,MO_1232
PolyA,SRR3018127,MO_1244
PolyA,SRR3018131,MO_1249
PolyA,SRR3018141,MO_1219
PolyA,SRR3018145,TP_2054
PolyA,SRR3018149,MO_1337
PolyA,SRR3018153,MO_1316
PolyA,SRR3018157,MO_1118
PolyA,SRR3018162,MO_1161
PolyA,SRR3018166,MO_1336
PolyA,SRR3018169,MO_1277
PolyA,SRR3018174,TP_2060
PolyA,SRR3018177,MO_1339
PolyA,SRR3018182,TP_2061
PolyA,SRR3018185,TP_2064
PolyA,SRR3018189,MO_1410
PolyA,SRR3018197,MO_1013
PolyA,SRR3018199,MO_1014
