COMMON,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PTEN
MO_1008,0,0,0,0,0
MO_1012,0,0,0,0,0
MO_1013,0,0,0,0,0
MO_1014,0,0,0,0,0
MO_1015,0,0,0,0,0
MO_1020,0,0,0,0,0
MO_1040,0,0,0,0,0
MO_1054,0,0,0,0,0
MO_1071,0,0,0,0,0
MO_1074,0,0,0,0,0
MO_1084,0,0,0,0,-2
MO_1094,0,0,0,0,0
MO_1095,0,0,0,0,-2
MO_1096,0,0,0,0,0
MO_1114,0,0,0,0,0
MO_1118,-2,0,0,0,-2
MO_1124,0,0,0,0,-2
MO_1128,0,0,0,0,0
MO_1130,0,0,0,0,0
MO_1161,0,0,0,0,-2
MO_1162,0,0,0,0,0
MO_1176,0,0,0,0,0
MO_1179,0,0,0,0,0
MO_1184,0,0,0,0,0
MO_1192,0,0,0,0,-2
MO_1202,0,0,0,0,-2
MO_1215,0,0,0,0,-2
MO_1219,0,0,0,0,0
MO_1221,0,0,0,0,0
MO_1232,0,0,0,0,0
MO_1241,0,0,0,0,0
MO_1244,0,0,0,0,-2
MO_1249,0,0,0,0,-2
MO_1262,0,0,0,0,0
MO_1263,0,0,0,0,0
MO_1277,0,0,0,0,0
MO_1316,0,0,0,-2,0
MO_1336,0,0,0,0,0
MO_1337,0,0,0,0,-2
MO_1339,0,0,0,0,0
MO_1410,0,0,0,0,-2
TP_2001,0,0,0,0,-2
TP_2009,0,0,0,0,0
TP_2010,0,0,0,0,0
TP_2020,0,0,0,0,0
TP_2032,0,0,0,0,-2
TP_2034,0,0,0,0,-2
TP_2054,0,0,0,0,0
TP_2060,0,0,0,0,0
TP_2061,0,0,0,0,-2
TP_2064,0,0,0,0,0
1115153,0,0,0,0,0
1115154,0,0,0,0,0
1115156,0,0,0,0,-2
1115157,0,0,0,0,-2
1115161,0,0,0,0,0
1115183,0,0,0,0,-2
1115202,0,0,0,0,0
1115244,0,0,0,0,0
6115114,0,0,0,0,0
6115115,0,0,0,0,0
6115117,0,0,0,0,-2
6115118,0,0,0,0,0
6115121,0,0,0,0,0
6115122,0,0,0,0,0
6115123,0,0,0,0,-2
6115219,0,0,0,0,-2
6115224,0,0,0,0,0
6115227,0,0,0,0,-2
6115233,0,0,0,0,-2
6115234,0,0,0,0,-2
6115237,0,0,0,0,0
6115242,0,0,0,0,0
6115247,0,0,0,0,0
6115250,0,0,-2,0,-2
6115251,0,0,0,0,0
SC_9001,0,0,0,0,0
SC_9003,0,0,0,0,-2
SC_9005,0,0,0,0,0
SC_9007,0,0,0,0,0
SC_9008,0,0,0,0,-2
SC_9009,0,0,0,0,0
SC_9010,0,0,0,0,0
SC_9011,0,0,0,0,-2
SC_9012,0,0,0,0,0
SC_9016,0,0,0,0,0
SC_9017,0,0,0,0,0
SC_9018,0,0,0,0,0
SC_9019,0,0,0,0,0
SC_9020,0,0,0,0,-2
SC_9021,0,0,0,0,0
SC_9022,0,0,0,0,0
SC_9023,0,0,0,0,0
SC_9024,0,0,0,0,-2
SC_9026,0,0,0,0,0
SC_9027,0,0,0,0,0
SC_9028,0,0,0,0,0
SC_9029,0,0,0,0,0
SC_9030,0,0,0,0,0
SC_9031,0,0,0,0,0
SC_9032,0,0,0,0,0
SC_9034,0,0,0,0,0
SC_9035,0,0,0,0,0
SC_9036,0,0,0,0,0
SC_9037,0,0,0,0,0
SC_9038,0,0,0,0,0
SC_9039,0,0,0,0,0
SC_9043,0,0,0,0,0
SC_9046,0,0,0,0,-2
SC_9047,0,0,0,0,0
SC_9048,0,0,0,0,0
SC_9049,0,0,0,0,0
SC_9050,0,0,0,0,-2
SC_9054,0,0,0,0,0
SC_9055,0,0,0,0,0
SC_9056,0,0,0,0,0
SC_9057,0,0,0,0,-2
SC_9058,0,0,0,0,0
SC_9059,0,0,0,0,-2
SC_9060,0,0,0,0,0
SC_9061,0,0,0,0,0
SC_9062,0,0,0,0,0
SC_9063,0,0,0,0,-2
SC_9065,0,0,0,0,0
SC_9066,0,0,0,0,-2
SC_9068,0,0,0,0,0
SC_9071,0,0,0,0,0
SC_9072,0,0,0,0,0
SC_9073,0,0,0,0,0
SC_9076,0,0,0,0,0
SC_9080,0,0,0,0,0
SC_9081,0,0,0,0,0
SC_9082,0,0,0,0,0
SC_9083,0,0,0,0,0
SC_9084,0,0,0,0,-2
SC_9086,0,0,0,0,-2
SC_9089,0,0,0,0,0
SC_9090,0,0,0,0,0
SC_9091,0,0,0,0,0
SC_9092,0,0,0,0,-2
SC_9093,0,0,0,0,0
SC_9094,0,0,0,0,0
SC_9096,0,0,0,0,-2
SC_9097,0,0,0,0,-2
SC_9099,0,0,0,0,0
SC_9100,0,0,0,0,0
SC_9103,0,0,0,0,0
SC_9104,0,0,0,0,0
SC_9107,0,0,0,0,-2
SC_9109,0,0,0,0,-2
