COMMON,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PTEN
MO_1008,0.716,0.623,-0.39,0.157,-0.752
MO_1012,0.279,0.279,0.399,0.019,-0.507
MO_1013,1.315,0.353,-0.012,1.01,-0.346
MO_1014,0.37,0.403,-0.018,0.015,0.261
MO_1015,-0.211,-0.27,-0.36,0.259,0.019
MO_1020,0.004,0.004,0.018,-0.363,-0.698
MO_1040,0.031,0.031,-0.042,0.012,-0.696
MO_1054,0.019,0.019,-0.049,0,-0.501
MO_1071,0,0,-0.012,-0.343,0.005
MO_1074,0.461,0.461,-0.012,0.41,-0.442
MO_1084,-0.417,5.208,-0.412,-0.007,-1.439
MO_1094,0.359,0.354,-0.091,0.008,-0.723
MO_1095,1.617,2.147,-0.027,0.018,-0.938
MO_1096,0.171,0.098,-0.343,0.063,-0.145
MO_1114,1.191,0.359,-0.1,2.193,-0.143
MO_1118,-0.921,0.008,0.015,0.003,-0.89
MO_1124,0.011,0.011,-0.018,0.959,-1.5
MO_1128,0.755,-0.759,-0.013,0.785,0.706
MO_1130,-0.054,-0.054,-0.089,-0.017,-0.713
MO_1161,0.148,0.438,0.128,-0.027,-1.436
MO_1162,0.044,0.012,0.647,-0.002,-0.015
MO_1176,0.012,0.026,0.005,0.021,0.666
MO_1179,0.107,0.431,-0.249,0.12,-0.39
MO_1184,0.581,0.004,-0.02,-0.54,-0.551
MO_1192,0.696,0.696,-0.338,0,-1.364
MO_1202,1.071,1.727,-0.011,0.26,-1.465
MO_1215,1.072,1.247,0.296,-0.733,-1.456
MO_1219,0.572,0.514,-0.007,-0.017,0.172
MO_1221,-0.056,-0.056,-0.05,0.158,-0.593
MO_1232,0.061,-0.019,0.468,1.395,0.018
MO_1241,-0.021,-0.021,0.078,1.716,-0.55
MO_1244,0.148,0.053,-0.004,0.166,-0.86
MO_1249,0.368,0.008,-0.419,0.77,-1.181
MO_1262,0.856,0.003,0.026,0.101,-0.012
MO_1263,0.068,6,-0.078,0.091,-0.752
MO_1277,0.03,0.002,0.054,0.007,-0.002
MO_1316,0.024,0.024,-0.435,-0.801,-0.004
MO_1336,0.09,0.149,0.102,0.123,-0.785
MO_1337,0.018,0,0.026,0.011,-1.364
MO_1339,-0.001,0.58,-0.553,-0.002,-0.564
MO_1410,0.034,-0.381,-0.053,0.722,-1.073
TP_2001,0.055,0.057,0.632,0.059,-1.392
TP_2009,0.927,-0.007,-0.457,-0.003,-0.002
TP_2010,-0.015,-0.031,0.061,0.017,-0.023
TP_2020,0.222,0.197,-0.227,-0.009,-0.466
TP_2032,0.593,0.593,-0.008,0.029,-1.09
TP_2034,0.002,0.002,0.026,0.001,-1.01
TP_2054,0.692,0.363,-0.46,1.196,-0.025
TP_2060,-0.008,0.056,0.032,0.045,-0.06
TP_2061,5.789,-0.585,0.752,-0.757,-1.5
TP_2064,1.009,0.525,-0.006,0.014,-0.506
1115153,0.395,0.394,-0.079,0.017,-0.693
1115154,0.858,0.84,-0.174,0.449,-0.167
1115156,0.206,0.203,-0.253,0.246,-1.491
1115157,1.044,0.237,-0.128,0.642,-1.184
1115161,1.729,1.692,0.248,-0.001,-0.007
1115183,0.486,0.522,0.101,0.103,-1.298
1115202,-0.01,1.797,0.09,0.428,0
1115244,0.621,0.693,0.092,0.033,0.561
6115114,0.941,1.883,0.095,-0.021,-0.035
