COMMON,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PTEN
MO_1008,3.432,3.246,1.22,2.314,0.496
MO_1012,2.558,2.558,2.798,2.038,0.986
MO_1013,4.63,2.706,1.976,4.02,1.308
MO_1014,2.74,2.806,1.964,2.03,2.522
MO_1015,1.578,1.46,1.28,2.518,2.038
MO_1020,2.008,2.008,2.036,1.274,0.604
MO_1040,2.062,2.062,1.916,2.024,0.608
MO_1054,2.038,2.038,1.902,2,0.998
MO_1071,2,2,1.976,1.314,2.01
MO_1074,2.922,2.922,1.976,2.82,1.116
MO_1084,1.166,12.416,1.176,1.986,-0.878
MO_1094,2.718,2.708,1.818,2.016,0.554
MO_1095,5.234,6.294,1.946,2.036,0.124
MO_1096,2.342,2.196,1.314,2.126,1.71
MO_1114,4.382,2.718,1.8,6.386,1.714
MO_1118,0.158,2.016,2.03,2.006,0.22
MO_1124,2.022,2.022,1.964,3.918,-1
MO_1128,3.51,0.482,1.974,3.57,3.412
MO_1130,1.892,1.892,1.822,1.966,0.574
MO_1161,2.296,2.876,2.256,1.946,-0.872
MO_1162,2.088,2.024,3.294,1.996,1.97
MO_1176,2.024,2.052,2.01,2.042,3.332
MO_1179,2.214,2.862,1.502,2.24,1.22
MO_1184,3.162,2.008,1.96,0.92,0.898
MO_1192,3.392,3.392,1.324,2,-0.728
MO_1202,4.142,5.454,1.978,2.52,-0.93
MO_1215,4.144,4.494,2.592,0.534,-0.912
MO_1219,3.144,3.028,1.986,1.966,2.344
MO_1221,1.888,1.888,1.9,2.316,0.814
MO_1232,2.122,1.962,2.936,4.79,2.036
MO_1241,1.958,1.958,2.156,5.432,0.9
MO_1244,2.296,2.106,1.992,2.332,0.28
MO_1249,2.736,2.016,1.162,3.54,-0.362
MO_1262,3.712,2.006,2.052,2.202,1.976
MO_1263,2.136,14,1.844,2.182,0.496
MO_1277,2.06,2.004,2.108,2.014,1.996
MO_1316,2.048,2.048,1.13,0.398,1.992
MO_1336,2.18,2.298,2.204,2.246,0.43
MO_1337,2.036,2,2.052,2.022,-0.728
MO_1339,1.998,3.16,0.894,1.996,0.872
MO_1410,2.068,1.238,1.894,3.444,-0.146
TP_2001,2.11,2.114,3.264,2.118,-0.784
TP_2009,3.854,1.986,1.086,1.994,1.996
TP_2010,1.97,1.938,2.122,2.034,1.954
TP_2020,2.444,2.394,1.546,1.982,1.068
TP_2032,3.186,3.186,1.984,2.058,-0.18
TP_2034,2.004,2.004,2.052,2.002,-0.02
TP_2054,3.384,2.726,1.08,4.392,1.95
TP_2060,1.984,2.112,2.064,2.09,1.88
TP_2061,13.578,0.83,3.504,0.486,-1
TP_2064,4.018,3.05,1.988,2.028,0.988
1115153,2.79,2.788,1.842,2.034,0.614
1115154,3.716,3.68,1.652,2.898,1.666
1115156,2.412,2.406,1.494,2.492,-0.982
1115157,4.088,2.474,1.744,3.284,-0.368
1115161,5.458,5.384,2.496,1.998,1.986
1115183,2.972,3.044,2.202,2.206,-0.596
1115202,1.98,5.594,2.18,2.856,2
1115244,3.242,3.386,2.184,2.066,3.122
6115114,3.882,5.766,2.19,1.958,1.93
6115115,1.388,1.412,1.91,4.022,2.34
6115117,2.034,2.034,1.458,1.992,-0.45
6115118,1.908,1.918,2.048,3.568,1.926
6115121,3.122,3.122,2.09,6.3,0.672
